loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5871,4.59457540512085,0.0001,0.02,10,,,,,
0.276,3.295225143432617,0.0001,0.04,20,,,,,
0.2026,2.814030647277832,0.0001,0.06,30,,,,,
0.2019,4.292161464691162,0.0001,0.08,40,,,,,
0.1978,2.444389581680298,0.0001,0.1,50,,,,,
0.1639,2.0679962635040283,0.0001,0.12,60,,,,,
0.2006,3.0952138900756836,0.0001,0.14,70,,,,,
0.1791,2.583444356918335,0.0001,0.16,80,,,,,
0.1643,2.270699977874756,0.0001,0.18,90,,,,,
0.1045,1.91524338722229,0.0001,0.2,100,,,,,
0.1328,3.1936676502227783,0.0001,0.22,110,,,,,
0.1315,2.9361572265625,0.0001,0.24,120,,,,,
0.1323,2.640225887298584,0.0001,0.26,130,,,,,
0.1242,2.2632639408111572,0.0001,0.28,140,,,,,
0.0909,2.6375834941864014,0.0001,0.3,150,,,,,
0.1201,1.505416750907898,0.0001,0.32,160,,,,,
0.1169,2.7819361686706543,0.0001,0.34,170,,,,,
0.1353,3.0757083892822266,0.0001,0.36,180,,,,,
0.0996,1.8182995319366455,0.0001,0.38,190,,,,,
0.1129,2.584869384765625,0.0001,0.4,200,,,,,
0.137,2.744377613067627,0.0001,0.42,210,,,,,
0.1102,2.4764764308929443,0.0001,0.44,220,,,,,
0.1125,1.6285046339035034,0.0001,0.46,230,,,,,
0.102,2.1265337467193604,0.0001,0.48,240,,,,,
0.1159,2.4926953315734863,0.0001,0.5,250,,,,,
0.1254,2.894731283187866,0.0001,0.52,260,,,,,
0.1536,2.0447685718536377,0.0001,0.54,270,,,,,
0.106,1.4981499910354614,0.0001,0.56,280,,,,,
0.115,2.0816407203674316,0.0001,0.58,290,,,,,
0.0952,2.5392487049102783,0.0001,0.6,300,,,,,
0.1178,2.214416027069092,0.0001,0.62,310,,,,,
0.0997,1.7711135149002075,0.0001,0.64,320,,,,,
0.1009,1.9646049737930298,0.0001,0.66,330,,,,,
0.1105,2.387335777282715,0.0001,0.68,340,,,,,
0.1034,2.3881824016571045,0.0001,0.7,350,,,,,
0.1135,3.2384231090545654,0.0001,0.72,360,,,,,
0.1,1.8624718189239502,0.0001,0.74,370,,,,,
0.1063,2.870145320892334,0.0001,0.76,380,,,,,
0.1022,2.710188627243042,0.0001,0.78,390,,,,,
0.0913,3.1304004192352295,0.0001,0.8,400,,,,,
0.1051,2.046769618988037,0.0001,0.82,410,,,,,
0.1126,2.5450806617736816,0.0001,0.84,420,,,,,
0.0825,1.117480754852295,0.0001,0.86,430,,,,,
0.0954,3.0743730068206787,0.0001,0.88,440,,,,,
0.0979,2.6203067302703857,0.0001,0.9,450,,,,,
0.0997,1.9503406286239624,0.0001,0.92,460,,,,,
0.1036,2.6696054935455322,0.0001,0.94,470,,,,,
0.1026,1.6943551301956177,0.0001,0.96,480,,,,,
0.0933,1.4795175790786743,0.0001,0.98,490,,,,,
0.1119,2.1902642250061035,0.0001,1.0,500,,,,,
0.0826,1.6032599210739136,0.0001,1.02,510,,,,,
0.0799,2.0176665782928467,0.0001,1.04,520,,,,,
0.0734,1.4487311840057373,0.0001,1.06,530,,,,,
0.0888,2.3785400390625,0.0001,1.08,540,,,,,
0.0764,1.8057001829147339,0.0001,1.1,550,,,,,
0.0693,1.387028694152832,0.0001,1.12,560,,,,,
0.0796,1.9795641899108887,0.0001,1.1400000000000001,570,,,,,
0.0886,2.023465871810913,0.0001,1.16,580,,,,,
0.1016,1.142281174659729,0.0001,1.18,590,,,,,
0.0804,2.5979390144348145,0.0001,1.2,600,,,,,
0.0718,2.7502245903015137,0.0001,1.22,610,,,,,
0.082,1.4367632865905762,0.0001,1.24,620,,,,,
0.0997,3.1551578044891357,0.0001,1.26,630,,,,,
0.0812,2.0185203552246094,0.0001,1.28,640,,,,,
0.0805,1.704317569732666,0.0001,1.3,650,,,,,
0.0906,2.269357442855835,0.0001,1.32,660,,,,,
0.0761,2.0361196994781494,0.0001,1.34,670,,,,,
0.0714,1.6087645292282104,0.0001,1.3599999999999999,680,,,,,
0.0976,1.7980878353118896,0.0001,1.38,690,,,,,
0.0779,2.0372142791748047,0.0001,1.4,700,,,,,
0.0827,2.5829007625579834,0.0001,1.42,710,,,,,
0.0597,1.5017993450164795,0.0001,1.44,720,,,,,
0.0915,2.4240145683288574,0.0001,1.46,730,,,,,
0.0645,1.0431108474731445,0.0001,1.48,740,,,,,
0.0865,2.528994083404541,0.0001,1.5,750,,,,,
0.089,1.741853952407837,0.0001,1.52,760,,,,,
0.101,2.206002950668335,0.0001,1.54,770,,,,,
0.0714,1.589087724685669,0.0001,1.56,780,,,,,
0.0825,1.44734787940979,0.0001,1.58,790,,,,,
0.0856,2.2665793895721436,0.0001,1.6,800,,,,,
0.0769,1.6269882917404175,0.0001,1.62,810,,,,,
0.0888,1.9673576354980469,0.0001,1.6400000000000001,820,,,,,
0.0821,2.7192647457122803,0.0001,1.6600000000000001,830,,,,,
0.0766,2.800286293029785,0.0001,1.6800000000000002,840,,,,,
0.0789,0.9380302429199219,0.0001,1.7,850,,,,,
0.0646,1.7164820432662964,0.0001,1.72,860,,,,,
0.064,1.7523188591003418,0.0001,1.74,870,,,,,
0.0637,1.9242796897888184,0.0001,1.76,880,,,,,
0.0799,3.501164197921753,0.0001,1.78,890,,,,,
0.0675,1.1044676303863525,0.0001,1.8,900,,,,,
0.081,2.348076343536377,0.0001,1.8199999999999998,910,,,,,
0.0879,1.577576756477356,0.0001,1.8399999999999999,920,,,,,
0.0786,2.725386142730713,0.0001,1.8599999999999999,930,,,,,
0.0841,2.1696019172668457,0.0001,1.88,940,,,,,
0.0817,4.317717552185059,0.0001,1.9,950,,,,,
0.0573,2.056790590286255,0.0001,1.92,960,,,,,
0.0921,2.093362331390381,0.0001,1.94,970,,,,,
0.0741,1.0339360237121582,0.0001,1.96,980,,,,,
0.0511,1.89874267578125,0.0001,1.98,990,,,,,
0.1038,2.946315288543701,0.0001,2.0,1000,,,,,
0.0637,0.6541379690170288,0.0001,2.02,1010,,,,,
0.0689,2.239135265350342,0.0001,2.04,1020,,,,,
0.0589,2.35762357711792,0.0001,2.06,1030,,,,,
0.0737,1.73004949092865,0.0001,2.08,1040,,,,,
0.0716,2.377452850341797,0.0001,2.1,1050,,,,,
0.0514,1.7173587083816528,0.0001,2.12,1060,,,,,
0.083,2.753303050994873,0.0001,2.14,1070,,,,,
0.0793,1.6641886234283447,0.0001,2.16,1080,,,,,
0.0686,2.0326149463653564,0.0001,2.18,1090,,,,,
0.0708,1.7565163373947144,0.0001,2.2,1100,,,,,
0.083,2.988901376724243,0.0001,2.22,1110,,,,,
0.0672,1.5070221424102783,0.0001,2.24,1120,,,,,
0.0586,2.0367770195007324,0.0001,2.26,1130,,,,,
0.0775,2.9703469276428223,0.0001,2.2800000000000002,1140,,,,,
0.0572,1.721253752708435,0.0001,2.3,1150,,,,,
0.0645,2.354754686355591,0.0001,2.32,1160,,,,,
0.0506,1.9450315237045288,0.0001,2.34,1170,,,,,
0.0662,1.4455180168151855,0.0001,2.36,1180,,,,,
0.0689,1.899765133857727,0.0001,2.38,1190,,,,,
0.0645,2.6497271060943604,0.0001,2.4,1200,,,,,
0.0495,1.8771390914916992,0.0001,2.42,1210,,,,,
0.0508,1.5035251379013062,0.0001,2.44,1220,,,,,
0.0663,1.3934801816940308,0.0001,2.46,1230,,,,,
0.0651,1.74745774269104,0.0001,2.48,1240,,,,,
0.0468,1.1996686458587646,0.0001,2.5,1250,,,,,
0.0664,1.4113881587982178,0.0001,2.52,1260,,,,,
0.0501,1.6865644454956055,0.0001,2.54,1270,,,,,
0.0615,0.8484167456626892,0.0001,2.56,1280,,,,,
0.0716,2.532963752746582,0.0001,2.58,1290,,,,,
0.0851,3.607290029525757,0.0001,2.6,1300,,,,,
0.0653,2.468508720397949,0.0001,2.62,1310,,,,,
0.0585,1.5196837186813354,0.0001,2.64,1320,,,,,
0.0709,1.343332290649414,0.0001,2.66,1330,,,,,
0.0619,1.78757643699646,0.0001,2.68,1340,,,,,
0.0686,2.649365186691284,0.0001,2.7,1350,,,,,
0.0676,1.3765102624893188,0.0001,2.7199999999999998,1360,,,,,
0.0673,1.3676882982254028,0.0001,2.74,1370,,,,,
0.0642,1.6320207118988037,0.0001,2.76,1380,,,,,
0.0735,1.9058862924575806,0.0001,2.7800000000000002,1390,,,,,
0.0668,1.4880626201629639,0.0001,2.8,1400,,,,,
0.0715,2.5895931720733643,0.0001,2.82,1410,,,,,
0.0707,1.4816298484802246,0.0001,2.84,1420,,,,,
0.06,2.3832695484161377,0.0001,2.86,1430,,,,,
0.0604,1.328891634941101,0.0001,2.88,1440,,,,,
0.0582,1.7603322267532349,0.0001,2.9,1450,,,,,
0.0601,2.370373487472534,0.0001,2.92,1460,,,,,
0.0586,2.648224115371704,0.0001,2.94,1470,,,,,
0.0644,2.301825523376465,0.0001,2.96,1480,,,,,
0.062,1.8339380025863647,0.0001,2.98,1490,,,,,
0.0791,2.958622932434082,0.0001,3.0,1500,,,,,
,,,3.0,1500,1344.5441,4.462,1.116,2.420754752381645e+16,0.09311179478963216
